Title,Brand,Reviews,Rating,Price,Image URL,Product URL
No Title,Unknown Brand,0,0,"1,047",No Image,https://www.amazon.inhttps://aax-eu.amazon.in/x/c/JG2wepI6iF2HVU4zMWJiA4YAAAGWwEOltAMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCMPBjp/https://www.amazon.in/stores/page/23295C42-47B7-4879-A57F-44DD7D35ECEE/?_encoding=UTF8&store_ref=SB_A09267862B89I1F0CS99E-A1014660137SSR7BN4U9Z&pd_rd_plhdr=t&aaxitk=3b800f43cf53bc17b7c1730549bbdfdf&hsa_cr_id=0&lp_asins=B077K1VDKV%2CB07HJBRMNL%2CB09G9Y2Q8C&lp_query=soft%20toys&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=9KzR9&content-id=amzn1.sym.5e94cbee-68a7-46b5-b2e9-bb5445edd00f%3Aamzn1.sym.5e94cbee-68a7-46b5-b2e9-bb5445edd00f&pf_rd_p=5e94cbee-68a7-46b5-b2e9-bb5445edd00f&pf_rd_r=4EFDQCZBCGQ8A751V7F2&pd_rd_wg=GfKcr&pd_rd_r=734ba8d0-7177-4d39-adc7-4bc905252836
No Title,Unknown Brand,0,0,0,No Image,https://www.amazon.in/s?k=soft+toys&nsdOptOutParam=true&ref=nb_sb_noss
Check each product page for other buying options.,Unknown Brand,Check each product page for other buying options.,0,0,No Image,No Link
No Title,Unknown Brand,M.R.P: ,0,999,https://m.media-amazon.com/images/I/612RyncKUIL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyNDY4MzU5MDM0NjI5OjE3NDY5ODIzODA6c3BfYXRmOjMwMDU1NTIxMDcxMDMzMjo6MDo6&url=%2FHappyBuddy-Talking-Plush-Toy-Lion%2Fdp%2FB0F4NGGGDQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746982380%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
No Title,Unknown Brand,"1,680",4.2 out of 5 stars,189,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyNDY4MzU5MDM0NjI5OjE3NDY5ODIzODA6c3BfYXRmOjMwMDUzNTkyNjU0MDEzMjo6MDo6&url=%2FStorio-Plushie-Super-Adorable-Plush%2Fdp%2FB0CQG83Q12%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746982380%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
No Title,Unknown Brand,M.R.P: ,0,999,https://m.media-amazon.com/images/I/61TUInLnqIL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyNDY4MzU5MDM0NjI5OjE3NDY5ODIzODA6c3BfYXRmOjMwMDU1NTIxMDcxMDIzMjo6MDo6&url=%2FHappyBuddy-Talking-Plush-Toy-Deer%2Fdp%2FB0F4NGHPX7%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746982380%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
No Title,Unknown Brand,448,4.4 out of 5 stars,999,https://m.media-amazon.com/images/I/61bavIb4xJL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzYyNDY4MzU5MDM0NjI5OjE3NDY5ODIzODA6c3BfYXRmOjMwMDU1MDIxNDk2NjMzMjo6MDo6&url=%2FPandas-Box-Krishna-Infants-Toddlers%2Fdp%2FB0F5N2W5G1%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU%26dib_tag%3Dse%26keywords%3Dsoft%2Btoys%26qid%3D1746982380%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
No Title,Unknown Brand,"1,680",4.2 out of 5 stars,179,https://m.media-amazon.com/images/I/51nqXz7iWrL._AC_UL320_.jpg,https://www.amazon.in/Storio-Octopus-Plushie-Reversible-Plush/dp/B0D6Z1YPTZ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-5
No Title,Unknown Brand,"2,651",4.2 out of 5 stars,169,https://m.media-amazon.com/images/I/51h6wRH0lpL._AC_UL320_.jpg,https://www.amazon.in/Babique-Sitting-Plush-Animal-Decor/dp/B0B2F8XS9L/ref=sr_1_6?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-6
No Title,Unknown Brand,"2,651",4.2 out of 5 stars,253,https://m.media-amazon.com/images/I/71sh-Yt3EmL._AC_UL320_.jpg,https://www.amazon.in/Babique-Elephant-Sitting-Plush-Animal/dp/B0BD5TR6FD/ref=sr_1_7?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-7
No Title,Unknown Brand,448,4.4 out of 5 stars,999,https://m.media-amazon.com/images/I/61bavIb4xJL._AC_UL320_.jpg,https://www.amazon.in#
No Title,Unknown Brand,448,4.4 out of 5 stars,999,https://m.media-amazon.com/images/I/61bavIb4xJL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU1MDIxNDk2NjMzMjo6MDo6&url=%2FPandas-Box-Krishna-Infants-Toddlers%2Fdp%2FB0F5N2W5G1%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0F5N2W5G1%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,7,5.0 out of 5 stars,899,https://m.media-amazon.com/images/I/512cGrVqB0L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUzODkxNjMxMzgzMjo6MTo6&url=%2FOLSIC-Breathing-Teddy-Newborns-Multicolor%2Fdp%2FB0F4D45TLR%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0F4D45TLR%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,7,4.1 out of 5 stars,"1,049",https://m.media-amazon.com/images/I/81rAtGGbc6L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ3MDYxMzM0NzEzMjo6Mjo6&url=%2FGanesha-Plush-Stuffed-Favourite-Elephant%2Fdp%2FB0DRNKWLSN%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0DRNKWLSN%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,"13,332",4.4 out of 5 stars,399,https://m.media-amazon.com/images/I/61FvuCHYHUL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIxMzU2MTAyODEzMjo6Mzo6&url=%2FAmazon-Brand-Reversible-Strawberry-Stuffed%2Fdp%2FB0CXDDPLQG%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0CXDDPLQG%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,3,4.5 out of 5 stars,574,https://m.media-amazon.com/images/I/61VwnG1RvhL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ2Mzc1Njg0MTgzMjo6NDo6&url=%2FDIKANG-Premium-Stuffed-Plushie-Plushies%2Fdp%2FB0CVXRB3L3%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0CVXRB3L3%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,0,0,0,No Image,No Link
No Title,Unknown Brand,"13,332",4.4 out of 5 stars,198,https://m.media-amazon.com/images/I/61A2ddWFQxL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Penguin-Super-Soft-Birthday/dp/B0C46HFZX6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-8
No Title,Unknown Brand,"4,740",4.1 out of 5 stars,169,https://m.media-amazon.com/images/I/51AWNa6+TOL._AC_UL320_.jpg,https://www.amazon.in/Babique-Unicorn-Stuffed-Birthday-Yellow/dp/B08LTGRJSV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-9
No Title,Unknown Brand,"1,680",4.2 out of 5 stars,189,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,https://www.amazon.in/Storio-Plushie-Super-Adorable-Plush/dp/B0CQG83Q12/ref=sr_1_10?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-10
